"","j_sys_pwsid","j_pop","j_conn","j_sys_name","j_county","j_class_new","r_sys_pwsid","r_sys_name","r_type","r_county","route_name","distance_feet","merge_type","elevation_j","elevation_r","route_elev_min","route_elev_max","route_elev_mean","route_elev_range"
"14","CA0110650",90,1,"USBR-SLDMWA - CVP JONES PUMPING PLANT","ALAMEDA","SWS","CA3910027","MOUNTAIN HOUSE COMMUNITY SERVICES DIST.","Community water system","SAN JOAQUIN","CA0110650 USBR-SLDMWA - CVP JONES PUMPING PLANT - CA3910027 MOUNTAIN HOUSE COMMUNITY SERVICES DIST.",8191.790212056,"Route",0.94,15.91825,15.91825,20.71425,18.553277,4.796
"15","CA0202522",70,32,"SIERRA PINES MOBILE HOME PARK","ALPINE","SWS","CA2910001","CITY OF GRASS VALLEY","Community water system","NEVADA",NA,0,"Intersect",0,0,0,0,0,0
"16","CA0300010",214,66,"DRYTOWN COUNTY WATER DISTRICT","AMADOR","SWS","CA0310003","AWA, TANNER","Community water system","AMADOR","CA0300010 DRYTOWN COUNTY WATER DISTRICT - CA0310003 AWA, TANNER",9285.5006803152,"Route",217.66344,307.3049,183.84512,307.3049,243.694949,123.45978
"17","CA0300011",40,20,"SUTTER PINES MHP","AMADOR","SWS","CA0310001","CITY OF JACKSON","Community water system","AMADOR","CA0300011 SUTTER PINES MHP - CA0310001 CITY OF JACKSON",5058.1208823288,"Route",390.39481,376.92453,376.92453,389.66284,382.651906,12.73831
"18","CA0300016",160,80,"VOLCANO COMMUNITY SERVICE DIST","AMADOR","SWS","CA0310012","AWA BUCKHORN PLANT","Community water system","AMADOR","CA0300016 VOLCANO COMMUNITY SERVICE DIST - CA0310012 AWA BUCKHORN PLANT",11831.1007757712,"Route",632.03882,749.56921,620.78992,749.56921,678.347436,128.77929
"19","CA0300024",62,22,"TABEAU MOBILE HOME PARK","AMADOR","SWS","CA0310012","AWA BUCKHORN PLANT","Community water system","AMADOR","CA0300024 TABEAU MOBILE HOME PARK - CA0310012 AWA BUCKHORN PLANT",1662.550963524,"Route",785.66095,792.27435,778.83575,792.27435,786.779059,13.4386
"20","CA0300037",3553,331,"JACKSON VALLEY IRRIGATION DISTRICT","AMADOR","SWS","CA0310002","AWA, IONE","Community water system","AMADOR","CA0300037 JACKSON VALLEY IRRIGATION DISTRICT - CA0310002 AWA, IONE",15587.1305497248,"Route",106.3703,137.05057,92.78413,146.88695,120.220761,54.10282
"21","CA0300043",25,7,"OK CORRAL","AMADOR","SWS","CA0310012","AWA BUCKHORN PLANT","Community water system","AMADOR","CA0300043 OK CORRAL - CA0310012 AWA BUCKHORN PLANT",3592.09702334208,"Route",1149.90515,1107.65552,1103.87952,1150.04749,1125.145595,46.16797
"22","CA0300048",25,1,"PEARL'S","AMADOR","SWS","CA0310012","AWA BUCKHORN PLANT","Community water system","AMADOR","CA0300048 PEARL'S - CA0310012 AWA BUCKHORN PLANT",9431.5178404656,"Route",1188.99133,1107.65552,1103.87952,1191.60193,1143.015589,87.72241
"23","CA0300049",28,28,"PLASSE HOMESTEAD WATER ASSOCIATION","AMADOR","SWS","CA0310012","AWA BUCKHORN PLANT","Community water system","AMADOR","CA0300049 PLASSE HOMESTEAD WATER ASSOCIATION - CA0310012 AWA BUCKHORN PLANT",4184.19302152896,"Route",805.54956,751.59595,751.59595,801.72559,774.469599,50.12964
"24","CA0300055",25,7,"SUNSET WEST MUTUAL WATER COMPANY","AMADOR","SWS","CA0310003","AWA, TANNER","Community water system","AMADOR",NA,0,"Intersect",0,0,0,0,0,0
"25","CA0300060",157,2,"BLACK'S STATION","AMADOR","SWS","CA0310012","AWA BUCKHORN PLANT","Community water system","AMADOR","CA0300060 BLACK'S STATION - CA0310012 AWA BUCKHORN PLANT",14970.7312079952,"Route",1261.85876,1107.65552,1103.87952,1261.52478,1160.712693,157.64526
"26","CA0300062",299,21,"HOPE FOUNDATION/MORIAH HEIGHTS","AMADOR","SWS","CA0310002","AWA, IONE","Community water system","AMADOR","CA0300062 HOPE FOUNDATION/MORIAH HEIGHTS - CA0310002 AWA, IONE",14808.1422972912,"Route",108.46809,76.82388,76.48461,104.15362,88.630706,27.66901
"27","CA0300073",35,9,"AMADOR WATER AGENCY--TIGER CREEK POWERHO","AMADOR","SWS","CA0310012","AWA BUCKHORN PLANT","Community water system","AMADOR","CA0300073 AMADOR WATER AGENCY--TIGER CREEK POWERHO - CA0310012 AWA BUCKHORN PLANT",5710.0358374752,"Route",718.95013,810.53058,717.10693,810.53058,746.442901,93.42365
"28","CA0300085",25,1,"ROARING CAMP","AMADOR","SWS","CA0310012","AWA BUCKHORN PLANT","Community water system","AMADOR",NA,0,"Intersect",0,0,0,0,0,0
"29","CA0300086",25,2,"GRACE FELLOWSHIP CHURCH","AMADOR","SWS","CA0310001","CITY OF JACKSON","Community water system","AMADOR","CA0300086 GRACE FELLOWSHIP CHURCH - CA0310001 CITY OF JACKSON",6460.2334664736,"Route",323.94977,389.90442,317.54987,394.96301,369.826134,77.41314
"30","CA0300088",112,2,"BLACK CHASM CAVERN","AMADOR","SWS","CA0310012","AWA BUCKHORN PLANT","Community water system","AMADOR","CA0300088 BLACK CHASM CAVERN - CA0310012 AWA BUCKHORN PLANT",7891.6694506848,"Route",675.2359,749.56921,633.94751,749.56921,693.423247,115.6217
"31","CA0300104",25,3,"SLO 2 20 TASTING ROOM","AMADOR","SWS","CA0310012","AWA BUCKHORN PLANT","Community water system","AMADOR","CA0300104 SLO 2 20 TASTING ROOM - CA0310012 AWA BUCKHORN PLANT",2201.67274053936,"Route",856.2619,828.23688,828.23688,856.2619,846.243409,28.02502
"32","CA0300448",25,9,"MALLO GOLD MINE PLAZA","AMADOR","SWS","CA0310012","AWA BUCKHORN PLANT","Community water system","AMADOR","CA0300448 MALLO GOLD MINE PLAZA - CA0310012 AWA BUCKHORN PLANT",1994.45951491248,"Route",778.83392,792.27435,773.53912,792.27435,786.190544,18.73523
"33","CA0300524",75,2,"MP ASSOCIATES, INC.","AMADOR","SWS","CA0310002","AWA, IONE","Community water system","AMADOR","CA0300524 MP ASSOCIATES, INC. - CA0310002 AWA, IONE",10635.399324792,"Route",113.58278,137.05057,105.07688,146.88695,126.047648,41.81007
"34","CA0310005",907,388,"PINE GROVE COMM SERV DIST","AMADOR","SWS","CA0310012","AWA BUCKHORN PLANT","Community water system","AMADOR","CA0310005 PINE GROVE COMM SERV DIST - CA0310012 AWA BUCKHORN PLANT",2184.58389568848,"Route",790.96173,751.59595,751.59595,794.15063,772.760184,42.55468
"35","CA0310008",1184,211,"CAMANCHE NORTH SHORE INC.","AMADOR","SWS","CA0310021","AWA - CAMANCHE VILLAGE","Community water system","AMADOR","CA0310008 CAMANCHE NORTH SHORE INC. - CA0310021 AWA - CAMANCHE VILLAGE",1655.76994552992,"Route",81.53549,80.75173,77.54229,87.34149,81.366128,9.7992
"36","CA0310011",838,337,"FIRST MACE MEADOW # 1","AMADOR","SWS","CA0310012","AWA BUCKHORN PLANT","Community water system","AMADOR","CA0310011 FIRST MACE MEADOW # 1 - CA0310012 AWA BUCKHORN PLANT",3115.3323595152,"Route",1028.38281,999.19263,984.33978,1030.67065,1000.026413,46.33087
"37","CA0310018",200,82,"FIRST MACE MEADOWS UNIT NO. 2","AMADOR","SWS","CA0310012","AWA BUCKHORN PLANT","Community water system","AMADOR","CA0310018 FIRST MACE MEADOWS UNIT NO. 2 - CA0310012 AWA BUCKHORN PLANT",1854.25897813728,"Route",1087.61401,1071.33179,1059.49536,1086.08398,1071.385375,26.58862
"38","CA0310300",33,6,"INDIAN GRINDING ROCK-CALAVERAS DISTRICT","AMADOR","SWS","CA0310012","AWA BUCKHORN PLANT","Community water system","AMADOR","CA0310300 INDIAN GRINDING ROCK-CALAVERAS DISTRICT - CA0310012 AWA BUCKHORN PLANT",4238.47025857728,"Route",717.44958,708.78845,708.78845,739.3252,724.88675,30.53675
"39","CA0400007",399,168,"BUTTE CREEK ESTATES MUTUAL WATER CO","BUTTE","SWS","CA0410002","CAL-WATER SERVICE CO.-CHICO","Community water system","BUTTE","CA0400007 BUTTE CREEK ESTATES MUTUAL WATER CO - CA0410002 CAL-WATER SERVICE CO.-CHICO",10800.6737548512,"Route",61.36313,68.72662,60.72069,69.11473,64.895232,8.39404
"40","CA0400008",200,105,"GRAN MUTUAL WATER CO","BUTTE","SWS","CA0410002","CAL-WATER SERVICE CO.-CHICO","Community water system","BUTTE","CA0400008 GRAN MUTUAL WATER CO - CA0410002 CAL-WATER SERVICE CO.-CHICO",13470.867222384,"Route",128.32722,72.4172,70.89298,140.76494,87.702579,69.87196
"41","CA0400012",460,135,"FARM LABOR HOUSING","BUTTE","SWS","CA0410004","CITY OF GRIDLEY","Community water system","BUTTE","CA0400012 FARM LABOR HOUSING - CA0410004 CITY OF GRIDLEY",10501.341258936,"Route",29.09749,29.90152,28.70886,31.31283,30.059539,2.60397
"42","CA0400019",74,35,"OROVILLE MOBILE HOME PARK","BUTTE","SWS","CA0410005","CAL-WATER SERVICE CO.-OROVILLE","Community water system","BUTTE","CA0400019 OROVILLE MOBILE HOME PARK - CA0410005 CAL-WATER SERVICE CO.-OROVILLE",2359.33434259776,"Route",43.11089,44.98502,43.94065,44.98502,44.452461,1.04437
"43","CA0400020",327,88,"PLEASANT GROVE MHP","BUTTE","SWS","CA0410006","SFWP-MINERS RANCH","Community water system","BUTTE",NA,0,"Intersect",0,0,0,0,0,0
"44","CA0400030",275,101,"GOLDEN FEATHER MHP","BUTTE","SWS","CA0410008","0410008-THERMALITO WATER & SEWER DIST","Community water system","BUTTE","CA0400030 GOLDEN FEATHER MHP - CA0410008 0410008-THERMALITO WATER & SEWER DIST",616.12649978352,"Route",48.14043,48.18623,48.06639,48.52802,48.287829,0.46163
"45","CA0400040",250,175,"ALMOND GROVE MOBILE PARK","BUTTE","SWS","CA0410002","CAL-WATER SERVICE CO.-CHICO","Community water system","BUTTE",NA,0,"Intersect",0,0,0,0,0,0
"46","CA0400063",295,3,"MANZANITA ELEMENTARY SCHOOL","BUTTE","SWS","CA0410004","CITY OF GRIDLEY","Community water system","BUTTE","CA0400063 MANZANITA ELEMENTARY SCHOOL - CA0410004 CITY OF GRIDLEY",12444.5062355328,"Route",27.66743,29.02842,27.20776,29.53609,28.75371,2.32833
"47","CA0400106",26,29,"RIVER ONE RV PARK","BUTTE","SWS","CA0410008","0410008-THERMALITO WATER & SEWER DIST","Community water system","BUTTE","CA0400106 RIVER ONE RV PARK - CA0410008 0410008-THERMALITO WATER & SEWER DIST",515.44312093032,"Route",49.00526,48.18623,48.18623,49.08099,48.446823,0.89476
"48","CA0400111",125,94,"RIVER REFLECTIONS RV & CAMPGROUND","BUTTE","SWS","CA0410005","CAL-WATER SERVICE CO.-OROVILLE","Community water system","BUTTE","CA0400111 RIVER REFLECTIONS RV & CAMPGROUND - CA0410005 CAL-WATER SERVICE CO.-OROVILLE",257.391992690976,"Route",44.03838,44.6387,44.6387,44.85369,44.723815,0.21499
"49","CA0400117",52,22,"FALLING ROCK RV PARK","BUTTE","SWS","CA0410006","SFWP-MINERS RANCH","Community water system","BUTTE","CA0400117 FALLING ROCK RV PARK - CA0410006 SFWP-MINERS RANCH",13714.6665544944,"Route",39.21993,47.36205,39.23593,49.48231,44.912079,10.24638
"50","CA0400120",325,3,"BIDWELL PARK GOLF COURSE","BUTTE","SWS","CA0410002","CAL-WATER SERVICE CO.-CHICO","Community water system","BUTTE","CA0400120 BIDWELL PARK GOLF COURSE - CA0410002 CAL-WATER SERVICE CO.-CHICO",8283.5175287568,"Route",94.7745,83.2371,83.2371,99.88015,91.996337,16.64305
"51","CA0400135",50,19,"DURHAM PARK","BUTTE","SWS","CA0410002","CAL-WATER SERVICE CO.-CHICO","Community water system","BUTTE","CA0400135 DURHAM PARK - CA0410002 CAL-WATER SERVICE CO.-CHICO",11894.422887864,"Route",63.95314,52.04104,49.88008,63.61259,56.457926,13.73251
"52","CA0400150",45,2,"SUNSET MOULDING CHICO","BUTTE","SWS","CA0410002","CAL-WATER SERVICE CO.-CHICO","Community water system","BUTTE","CA0400150 SUNSET MOULDING CHICO - CA0410002 CAL-WATER SERVICE CO.-CHICO",13233.7008339888,"Route",82.17395,72.4172,70.89298,110.27303,83.546353,39.38005
"53","CA0400151",160,55,"KEEFER CREEK ESTATES","BUTTE","SWS","CA0410002","CAL-WATER SERVICE CO.-CHICO","Community water system","BUTTE","CA0400151 KEEFER CREEK ESTATES - CA0410002 CAL-WATER SERVICE CO.-CHICO",11851.8408049008,"Route",64.10563,52.04104,49.88008,63.30412,56.265587,13.42404
"54","CA0400154",85,2,"SMUCKER NATURAL FOODS","BUTTE","SWS","CA0410002","CAL-WATER SERVICE CO.-CHICO","Community water system","BUTTE",NA,0,"Intersect",0,0,0,0,0,0
"55","CA0400160",25,3,"CHICO ROD & GUN CLUB","BUTTE","SWS","CA0410002","CAL-WATER SERVICE CO.-CHICO","Community water system","BUTTE",NA,0,"Intersect",0,0,0,0,0,0
"56","CA0400161",47,22,"COHASSET INDUSTRIAL PARK","BUTTE","SWS","CA0410002","CAL-WATER SERVICE CO.-CHICO","Community water system","BUTTE",NA,0,"Intersect",0,0,0,0,0,0
"57","CA0400162",600,3,"PLEASANT VALLEY BAPTIST CHURCH","BUTTE","SWS","CA0410002","CAL-WATER SERVICE CO.-CHICO","Community water system","BUTTE","CA0400162 PLEASANT VALLEY BAPTIST CHURCH - CA0410002 CAL-WATER SERVICE CO.-CHICO",3782.77933430496,"Route",55.37198,52.04104,49.88008,55.66483,53.913962,5.78475
"58","CA0400166",500,4,"CHICO EASTSIDE LITTLE LEAGUE","BUTTE","SWS","CA0410002","CAL-WATER SERVICE CO.-CHICO","Community water system","BUTTE","CA0400166 CHICO EASTSIDE LITTLE LEAGUE - CA0410002 CAL-WATER SERVICE CO.-CHICO",4360.75727503152,"Route",64.75822,68.72662,65.01874,69.11473,68.041687,4.09599
"59","CA0400169",750,1,"GRIDLEY GRILL","BUTTE","SWS","CA0410004","CITY OF GRIDLEY","Community water system","BUTTE","CA0400169 GRIDLEY GRILL - CA0410004 CITY OF GRIDLEY",9920.7622481088,"Route",26.59333,29.02842,26.95143,29.53609,28.836246,2.58466
"60","CA0405002",593,1,"DWR-MONUMENT HILL RESTROOMS","BUTTE","SWS","CA0410008","0410008-THERMALITO WATER & SEWER DIST","Community water system","BUTTE","CA0405002 DWR-MONUMENT HILL RESTROOMS - CA0410008 0410008-THERMALITO WATER & SEWER DIST",9970.8920536368,"Route",49.35907,48.9855,44.91674,51.50021,47.964886,6.58347
"61","CA0405003",195,1,"SILVER DOLLAR FAIRGROUNDS","BUTTE","SWS","CA0410002","CAL-WATER SERVICE CO.-CHICO","Community water system","BUTTE",NA,0,"Intersect",0,0,0,0,0,0
"62","CA0409177",50,5,"G & J PROPERTIES","BUTTE","SWS","CA0410002","CAL-WATER SERVICE CO.-CHICO","Community water system","BUTTE","CA0409177 G & J PROPERTIES - CA0410002 CAL-WATER SERVICE CO.-CHICO",2931.69995053584,"Route",49.65041,53.12936,49.60632,53.12936,51.712043,3.52304
"63","CA0409181",70,23,"BLUE OAK TERRACE MUTUAL","BUTTE","SWS","CA0410007","PARADISE IRRIGATION DISTRICT","Community water system","BUTTE","CA0409181 BLUE OAK TERRACE MUTUAL - CA0410007 PARADISE IRRIGATION DISTRICT",3384.87329847744,"Route",376.77908,416.16922,382.79382,416.16922,403.130213,33.3754
"64","CA0409183",120,86,"SIERRA MOON WATER COMPANY","BUTTE","SWS","CA0410002","CAL-WATER SERVICE CO.-CHICO","Community water system","BUTTE","CA0409183 SIERRA MOON WATER COMPANY - CA0410002 CAL-WATER SERVICE CO.-CHICO",10697.5005583248,"Route",63.02267,52.04104,49.88008,63.00267,55.725692,13.12259
"65","CA0409184",800,2,"CHICO GRANGE #486","BUTTE","SWS","CA0410002","CAL-WATER SERVICE CO.-CHICO","Community water system","BUTTE","CA0409184 CHICO GRANGE #486 - CA0410002 CAL-WATER SERVICE CO.-CHICO",1205.0851671144,"Route",51.90025,52.39125,51.60375,52.39125,51.992487,0.7875
"66","CA0409187",25,1,"PG&E - TABLE MOUNTAIN","BUTTE","SWS","CA3310007","COACHELLA WATER AUTHORITY","Community water system","RIVERSIDE",NA,0,"Intersect",0,0,0,0,0,0
"67","CA0409189",100,3,"DAUTERMAN WELL","BUTTE","SWS","CA0410002","CAL-WATER SERVICE CO.-CHICO","Community water system","BUTTE","CA0409189 DAUTERMAN WELL - CA0410002 CAL-WATER SERVICE CO.-CHICO",13542.2879380272,"Route",134.00449,72.4172,70.89298,138.40869,88.53934,67.51571
"68","CA0409190",150,2,"PARADISE ADVENTIST CHURCH","BUTTE","SWS","CA0410007","PARADISE IRRIGATION DISTRICT","Community water system","BUTTE",NA,0,"Intersect",0,0,0,0,0,0
"69","CA0409192",100,2,"DOWN RANGE INDOOR TRAINING CENTER","BUTTE","SWS","CA0410002","CAL-WATER SERVICE CO.-CHICO","Community water system","BUTTE","CA0409192 DOWN RANGE INDOOR TRAINING CENTER - CA0410002 CAL-WATER SERVICE CO.-CHICO",3211.21728337872,"Route",54.58396,52.04104,49.88008,55.66919,53.880937,5.78911
"70","CA0409193",151,1,"LIBERTY 1ST WARD MEETING HOUSE","BUTTE","SWS","CA0410004","CITY OF GRIDLEY","Community water system","BUTTE",NA,0,"Intersect",0,0,0,0,0,0
"71","CA0409195",40,1,"CRAIN PARK WATER SYSTEM","BUTTE","SWS","CA0410007","PARADISE IRRIGATION DISTRICT","Community water system","BUTTE",NA,0,"Intersect",0,0,0,0,0,0
"72","CA0409196",1000,1,"PALERMO BIBLE FAMILY CHURCH","BUTTE","SWS","CA0410006","SFWP-MINERS RANCH","Community water system","BUTTE",NA,0,"Intersect",0,0,0,0,0,0
"73","CA0409197",30,3,"SIERRA NEVADA BREWING CO.","BUTTE","SWS","CA0410002","CAL-WATER SERVICE CO.-CHICO","Community water system","BUTTE",NA,0,"Intersect",0,0,0,0,0,0
"74","CA0410009",297,90,"DEL ORO WATER CO.-MAGALIA","BUTTE","SWS","CA0410007","PARADISE IRRIGATION DISTRICT","Community water system","BUTTE","CA0410009 DEL ORO WATER CO.-MAGALIA - CA0410007 PARADISE IRRIGATION DISTRICT",4222.74030763728,"Route",721.09741,694.29932,694.29932,731.81866,715.395691,37.51934
"75","CA0500003",1860,2,"U.S. ARMY CORP NEW HOGAN","CALAVERAS","SWS","CA0510006","CCWD - JENNY LIND","Community water system","CALAVERAS",NA,0,"Intersect",0,0,0,0,0,0
"76","CA0500007",50,8,"DREAM MOUNTAIN CHRISTIAN CAMP INC.","CALAVERAS","SWS","CA0510001","UNION PUBLIC UTILITY DISTRICT","Community water system","CALAVERAS","CA0500007 DREAM MOUNTAIN CHRISTIAN CAMP INC. - CA0510001 UNION PUBLIC UTILITY DISTRICT",11751.6397568592,"Route",677.28967,717.91602,664.35529,764.68256,723.931231,100.32727
"77","CA0500009",75,1,"UNITED PARCEL SERVICE","CALAVERAS","SWS","CA0510003","ANGELS, CITY OF","Community water system","CALAVERAS","CA0500009 UNITED PARCEL SERVICE - CA0510003 ANGELS, CITY OF",3664.41205789296,"Route",451.32486,411.74469,411.74469,459.50345,430.925625,47.75876
"78","CA0500029",35,15,"TAMARACK SPRINGS MUTUAL WATER","CALAVERAS","SWS","CA3910004","LODI, CITY OF","Community water system","SAN JOAQUIN",NA,0,"Intersect",0,0,0,0,0,0
"79","CA0500039",150,11,"TOYON PARK WATER SYSTEM LLC","CALAVERAS","SWS","CA0510006","CCWD - JENNY LIND","Community water system","CALAVERAS","CA0500039 TOYON PARK WATER SYSTEM LLC - CA0510006 CCWD - JENNY LIND",9823.9810131408,"Route",324.23993,238.39412,238.39412,324.51675,276.308908,86.12263
"80","CA0500069",225,1,"EL TORERO RESTAURANT","CALAVERAS","SWS","CA0510006","CCWD - JENNY LIND","Community water system","CALAVERAS","CA0500069 EL TORERO RESTAURANT - CA0510006 CCWD - JENNY LIND",9977.6237300256,"Route",129.26332,187.36084,130.2897,187.36084,154.828854,57.07114
"81","CA0500082",228,76,"ANGELS CAMP RV/CAMPING RESORT","CALAVERAS","SWS","CA0510003","ANGELS, CITY OF","Community water system","CALAVERAS","CA0500082 ANGELS CAMP RV/CAMPING RESORT - CA0510003 ANGELS, CITY OF",6440.2927169328,"Route",472.37155,411.74469,411.74469,457.1517,436.394991,45.40701
"82","CA0500085",200,6,"TOYON MIDDLE SCHOOL","CALAVERAS","SWS","CA0510006","CCWD - JENNY LIND","Community water system","CALAVERAS","CA0500085 TOYON MIDDLE SCHOOL - CA0510006 CCWD - JENNY LIND",9627.7252421328,"Route",327.41724,238.39412,238.39412,322.66257,276.255932,84.26845
"83","CA0500095",85,2,"FOOTHILL COMMUNITY CHURCH","CALAVERAS","SWS","CA0510003","ANGELS, CITY OF","Community water system","CALAVERAS","CA0500095 FOOTHILL COMMUNITY CHURCH - CA0510003 ANGELS, CITY OF",9053.8339560768,"Route",436.39847,411.74469,411.74469,455.49454,436.413598,43.74985
"84","CA0500097",100,3,"CUSD DISTRICT OFFICE","CALAVERAS","SWS","CA0510002","CALAVERAS PUD","Community water system","CALAVERAS","CA0500097 CUSD DISTRICT OFFICE - CA0510002 CALAVERAS PUD",6091.0716149712,"Route",400.634,392.38559,392.38559,425.82361,409.460854,33.43802
"85","CA0500103",80,1,"STONE CORRAL COMMUNITY CHURCH","CALAVERAS","SWS","CA0510006","CCWD - JENNY LIND","Community water system","CALAVERAS","CA0500103 STONE CORRAL COMMUNITY CHURCH - CA0510006 CCWD - JENNY LIND",8891.8788775344,"Route",75.92333,104.3962,74.13986,104.3962,88.298805,30.25634
"86","CA0500104",80,1,"BURSON FULL GOSPEL CHURCH","CALAVERAS","SWS","CA0510006","CCWD - JENNY LIND","Community water system","CALAVERAS","CA0500104 BURSON FULL GOSPEL CHURCH - CA0510006 CCWD - JENNY LIND",12045.3789255888,"Route",123.874,187.36084,124.14342,187.36084,151.011697,63.21742
"87","CA0500105",25,3,"OAKENDELL, INC.","CALAVERAS","SWS","CA0510002","CALAVERAS PUD","Community water system","CALAVERAS","CA0500105 OAKENDELL, INC. - CA0510002 CALAVERAS PUD",12406.7676109872,"Route",423.24213,316.46222,316.46222,505.67374,428.678005,189.21152
"88","CA0500107",35,2,"MACT HEALTH BOARD, INC.","CALAVERAS","SWS","CA0510003","ANGELS, CITY OF","Community water system","CALAVERAS","CA0500107 MACT HEALTH BOARD, INC. - CA0510003 ANGELS, CITY OF",1203.40373117712,"Route",418.71069,424.93271,418.71069,424.93271,421.26059,6.22202
"89","CA0510010",900,263,"VALLEY SPRINGS PUD","CALAVERAS","SWS","CA0510006","CCWD - JENNY LIND","Community water system","CALAVERAS",NA,0,"Intersect",0,0,0,0,0,0
"90","CA0600009",25,1,"COLUSA LANDING","COLUSA","SWS","CA0610002","CITY OF COLUSA","Community water system","COLUSA","CA0600009 COLUSA LANDING - CA0610002 CITY OF COLUSA",5119.96430316096,"Route",19.58311,19.72675,19.72651,22.56095,21.245463,2.83444
"91","CA0600012",246,88,"COLUSA CO. SERVICE AREA #1-CENTURY RANCH","COLUSA","SWS","CA0610002","CITY OF COLUSA","Community water system","COLUSA",NA,0,"Intersect",0,0,0,0,0,0
"92","CA0600012",246,88,"COLUSA CO. SERVICE AREA #1-CENTURY RANCH","COLUSA","SWS","CA0610002","CITY OF COLUSA","Community water system","COLUSA",NA,0,"Intersect",0,0,0,0,0,0
